id;type;date_debut;date_fin;responsable;etat;description;detail;dossier_id
1;Designer Incredible Fresh Car Tuvalu;2019-06-12T12:25:12;2019-06-12T14:11:33;Optional;Associate Central African Republic Savings Ac;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips;10
2;Regional;2019-06-13T01:18:55;2019-06-13T09:41:20;B2B Mouse;Junctions one-to-one;analyzing holistic;Architect;7
3;Falkland Islands (Malvinas);2019-06-13T04:49:20;2019-06-13T02:22:55;Credit Card Account clear-thinking Frozen;parsing;models New Mexico District;Accountability;9
4;Rustic Steel Shirt drive;2019-06-12T16:47:52;2019-06-13T00:43:20;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;SMS;9
5;Producer Agent;2019-06-12T22:55:15;2019-06-12T22:12:27;capacitor program enhance;Falls;User-friendly;Savings Account;3
6;El Salvador Colon US Dollar Checking Account ;2019-06-13T09:31:32;2019-06-13T11:43:07;Borders Springs connecting;SAS;Planner Refined;engage Granite Grocery;8
7;Credit Card Account transmitter cyan;2019-06-13T08:58:41;2019-06-12T21:26:12;Director;New York mesh;Unbranded array;Berkshire solid state;4
8;Home Loan Account;2019-06-12T15:33:16;2019-06-12T19:30:28;back-end Via indexing;Business-focused Canyon Orchestrator;frictionless orchid;Future-proofed Awesome;2
9;Rubber Shirt;2019-06-13T08:55:09;2019-06-12T19:30:26;Mouse Rupiah;Human Mission;Officer Savings Account Automated;Pants even-keeled Chair;1
10;Granite Island;2019-06-13T07:17:56;2019-06-12T14:47:24;Granite open architecture;Ergonomic Soft Shoes;Bulgarian Lev Cambridgeshire;Regional;1
